"Department","Date","StaffedHours","AvailableHours","AUXHours","OtherHours","TargetSL","WithinServiceLevel","SLGoal","SL","TotalCalls","ASA","AvgACDTime"
"Field Support Tech",2021-05-06,100.506944444444,24.5905555555556,37.4225,1.12388888888889,65,94,0.65,0.94,563,10.1049613953,3.68622690836667
"Field Support Tech",2021-05-07,95.7222222222222,26.2016666666667,36.5886111111111,1.6225,65,84,0.65,0.84,62,33.4909095764,3.37076975505
"Field Support Tech",2021-05-08,15.0236111111111,11.3894444444444,0.2475,0.116388888888889,65,0,0.65,0,0,0,3.33151524861667
"Field Support Tech",2021-05-09,0,0,0,0,65,91,0.65,0.91,624,14.3690681458,0
"Field Support Tech",2021-05-10,82.5280555555556,27.1225,19.1236111111111,0.65,65,80,0.65,0.8,640,24.9722709656,3.54370244343333
"Field Support Tech",2021-05-11,107.514444444444,15.7930555555556,51.2513888888889,1.12833333333333,65,87,0.65,0.87,624,17.4036693573,3.88549982706667
"Field Support Tech",2021-05-12,112.987777777778,21.5869444444444,57.4988888888889,0.5725,65,87,0.65,0.87,534,17.2723484039,3.45611623128333
"Field Support Tech",2021-05-13,92.1816666666667,22.8047222222222,37.825,0.798055555555556,65,60,0.65,0.6,621,56.1594200134,3.6034304301
"Field Support Tech",2021-05-14,91.9338888888889,11.6272222222222,41.2822222222222,1.23222222222222,65,94,0.65,0.94,48,21.042552948,3.90105667115
"Field Support Tech",2021-05-15,14.8980555555556,12.3308333333333,0.201111111111111,0.0108333333333333,65,0,0.65,0,0,0,2.75106379191667
"Field Support Tech",2021-05-16,0,0,0,0,65,73,0.65,0.73,500,32.6085014343,0
"Field Support Tech",2021-05-17,88.0102777777778,16.4658333333333,41.6661111111111,0.748888888888889,65,59,0.65,0.59,609,56.9388504028,3.6823638916
"Field Support Tech",2021-05-18,92.4252777777778,14.8358333333333,41.5433333333333,1.11,65,80,0.65,0.8,563,28.6309528351,3.5617205302
"Field Support Tech",2021-05-19,98.3947222222222,17.2505555555556,46.0511111111111,1.63694444444444,65,69,0.65,0.69,597,39.6753234863,3.78822758993333
"Field Support Tech",2021-05-20,91.8755555555556,13.2161111111111,41.5933333333333,1.42666666666667,65,55,0.65,0.55,596,69.5602264404,3.76283238728333
"Field Support Tech",2021-05-21,97.6391666666667,13.3591666666667,46.2469444444444,1.38083333333333,65,92,0.65,0.92,36,17.3888893127,4.02571690876667
"Field Support Tech",2021-05-22,15.0205555555556,12.6505555555556,0.0158333333333333,0.0597222222222222,65,0,0.65,0,0,0,3.5921295166
"Field Support Tech",2021-05-23,0,0,0,0,65,63,0.65,0.63,532,63.4762878418,0
"Field Support Tech",2021-05-24,86.2452777777778,14.7880555555556,36.2127777777778,1.99416666666667,65,67,0.65,0.67,673,38.6264457703,3.92402064005
"Field Support Tech",2021-05-25,112.45,21.5236111111111,47.9425,1.88277777777778,65,72,0.65,0.72,583,41.3009529114,3.8658126831
"Field Support Tech",2021-05-26,98.9097222222222,15.3166666666667,45.4494444444444,0.994444444444444,65,78,0.65,0.78,688,28.4916934967,4.03949203491667
"Field Support Tech",2021-05-27,102.045277777778,19.2958333333333,38.4883333333333,1.25861111111111,65,58,0.65,0.58,650,58.8929176331,4.08255818685
"Field Support Tech",2021-05-28,89.7227777777778,12.1091666666667,35.3566666666667,1.83222222222222,65,97,0.65,0.97,37,6.02857160568,3.99116287231667
"Field Support Tech",2021-05-29,14.7938888888889,13.2205555555556,0.140277777777778,0.117222222222222,65,0,0.65,0,0,0,2.04380950928333
"Field Support Tech",2021-05-30,0,0,0,0,65,0,0.65,0,0,0,0
"Field Support Tech",2021-05-31,0,0,0,0,65,84,0.65,0.84,501,21.3595504761,0
"Fire Admin Customer",2021-05-01,0,0,0,0,65,0,0.65,0,0,0,0
"Fire Admin Customer",2021-05-02,0,0,0,0,65,82,0.65,0.82,38,50.9411773682,0
"Fire Admin Customer",2021-05-03,14.9438888888889,9.01777777777778,0.148611111111111,2.92944444444444,65,63,0.65,0.63,56,81.9523773193,4.8799021403
"Fire Admin Customer",2021-05-04,21.9655555555556,9.04138888888889,6.15055555555556,3.79111111111111,65,84,0.65,0.84,40,30.5,4.10555547078333
"Fire Admin Customer",2021-05-05,22.7933333333333,9.99555555555555,7.21777777777778,3.14638888888889,65,92,0.65,0.92,39,15,4.4125
"Fire Admin Customer",2021-05-06,22.4430555555556,11.0666666666667,5.78444444444444,3.06138888888889,65,71,0.65,0.71,28,56.5714302063,5.92866668701667
"Fire Admin Customer",2021-05-07,15.3286111111111,10.5302777777778,0.431944444444444,2.31805555555556,65,0,0.65,0,0,0,5.71984151205
"Fire Admin Customer",2021-05-08,0,0,0,0,65,0,0.65,0,0,0,0
"Fire Admin Customer",2021-05-09,0,0,0,0,65,77,0.65,0.77,21,39.2999992371,0
"Fire Admin Customer",2021-05-10,9.10444444444444,6.27805555555556,0.125555555555556,1.44361111111111,65,56,0.65,0.56,41,131.393936157,3.59166666666667
"Fire Admin Customer",2021-05-11,14.8572222222222,7.69361111111111,1.6075,2.74055555555556,65,81,0.65,0.81,30,14.2173910141,4.97424265543333
"Fire Admin Customer",2021-05-12,13.6413888888889,7.43805555555556,0.495277777777778,3.83888888888889,65,87,0.65,0.87,39,68.9666671753,4.7239130656
"Fire Admin Customer",2021-05-13,22.2402777777778,10.2016666666667,6.58777777777778,3.37194444444444,65,79,0.65,0.79,26,30.3157901764,4.0077776591
"Fire Admin Customer",2021-05-14,22.2311111111111,11.5147222222222,6.76611111111111,2.55944444444444,65,0,0.65,0,0,0,4.25175450643333
"Fire Admin Customer",2021-05-15,0,0,0,0,65,0,0.65,0,0,0,0
"Fire Admin Customer",2021-05-16,0,0,0,0,65,76,0.65,0.76,29,43.4285697937,0
"Fire Admin Customer",2021-05-17,14.93,8.43138888888889,0.0761111111111111,4.09222222222222,65,78,0.65,0.78,50,38.6571426392,4.8464284261
"Fire Admin Customer",2021-05-18,22.1383333333333,9.41333333333333,6.94388888888889,3.23527777777778,65,83,0.65,0.83,39,28.2068958282,4.23714294433333
"Fire Admin Customer",2021-05-19,14.7927777777778,8.87888888888889,0.240277777777778,3.98055555555556,65,83,0.65,0.83,21,23.5555553436,3.33678156535
"Fire Admin Customer",2021-05-20,15.0108333333333,9.66388888888889,1.18361111111111,3.18527777777778,65,91,0.65,0.91,28,28.1739139557,3.11388880411667
"Fire Admin Customer",2021-05-21,13.8594444444444,9.29583333333333,0.373333333333333,2.72611111111111,65,0,0.65,0,0,0,3.66521733601667
"Fire Admin Customer",2021-05-22,0,0,0,0,65,0,0.65,0,0,0,0
"Fire Admin Customer",2021-05-23,0,0,0,0,65,61,0.65,0.61,39,83.6764678955,0
"Fire Admin Customer",2021-05-24,14.99,8.69138888888889,0.310833333333333,3.40666666666667,65,78,0.65,0.78,35,44.34375,4.4029413859
"Fire Admin Customer",2021-05-25,18.7419444444444,7.10944444444444,4.81944444444444,4.40944444444444,65,91,0.65,0.91,36,15.6571426392,4.36145833333333
"Fire Admin Customer",2021-05-26,22.2508333333333,9.28388888888889,6.42555555555556,3.24666666666667,65,92,0.65,0.92,30,28.7600002289,5.49761912028333
"Fire Admin Customer",2021-05-27,22.3883333333333,10.6986111111111,6.75861111111111,2.88083333333333,65,71,0.65,0.71,33,91.9285736084,4.76599985758333
"Fire Admin Customer",2021-05-28,22.4847222222222,10.2447222222222,6.82555555555556,2.98416666666667,65,0,0.65,0,0,0,5.06369069416667
"Fire Admin Customer",2021-05-29,0,0,0,0,65,0,0.65,0,0,0,0
"Fire Admin Customer",2021-05-30,0,0,0,0,65,0,0.65,0,0,0,0
"Fire Admin Customer",2021-05-31,0,0,0,0,65,86,0.65,0.86,49,21.3095245361,0
"Fire Admin Tech",2021-05-01,0,0,0,0,65,0,0.65,0,0,0,0
"Fire Admin Tech",2021-05-02,0,0,0,0,65,85,0.65,0.85,44,31.2999992371,0
"Fire Admin Tech",2021-05-03,14.9438888888889,9.01777777777778,0.148611111111111,2.87722222222222,65,69,0.65,0.69,67,86.8730163574,4.13458328246667
"Fire Admin Tech",2021-05-04,21.9655555555556,9.04138888888889,6.15055555555556,3.14666666666667,65,86,0.65,0.86,59,37.2909088135,3.23174591065
"Fire Admin Tech",2021-05-05,22.7933333333333,9.99555555555555,7.21777777777778,2.47166666666667,65,89,0.65,0.89,67,20.8730163574,3.15636367798333
"Fire Admin Tech",2021-05-06,22.4430555555556,11.0666666666667,5.78444444444444,2.58888888888889,65,87,0.65,0.87,38,28.8888893127,2.62592595418333
"Fire Admin Tech",2021-05-07,15.3286111111111,10.5302777777778,0.431944444444444,2.07472222222222,65,0,0.65,0,0,0,3.5828704834
"Fire Admin Tech",2021-05-08,0,0,0,0,65,0,0.65,0,0,0,0
"Fire Admin Tech",2021-05-09,0,0,0,0,65,85,0.65,0.85,32,34.0625,0
"Fire Admin Tech",2021-05-10,9.10444444444444,6.27805555555556,0.125555555555556,1.26722222222222,65,67,0.65,0.67,54,86.125,2.44166666666667
